Iteration,Newton Error,Secant Error
0,0.8652758615984806,0.8652758615984806
1,0.5459041338497894,0.13472413840151942
2,0.296014849837543,0.11859510614345492
3,0.12024681770791701,0.05585363027511803
4,0.026814294371793723,0.01706830745996779
5,0.0016291357689859343,0.0021925881853863682
6,6.389942109663593e-06,9.266960333342844e-05
7,9.870171346904044e-11,4.924528145267004e-07
8,0.0,1.1030354407637333e-10
9,,2.220446049250313e-16
10,,0.0
